attribute,target_column,target_file,task_type,strategy,splitter,n_folds,n_labels,n_assets,prediction,train_majority_share_mean,train_majority_share_std,accuracy_mean,accuracy_std,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std
attr_has_edge_guard,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,classification,stratified_random_group_cv,StratifiedGroupKFold,5,2587,1721,,0.8971782209426944,0.00017944683275081683,0.8272129825321315,0.00878532253728374,0.8224392972467364,0.009072705143181896,0.506072870226552,0.024897053605554744
attr_has_edge_guard,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,classification,uniform_random_group_cv,StratifiedGroupKFold,5,2587,1721,,0.8971782209426944,0.00017944683275081683,0.5199099348035519,0.005693621078722451,0.6105643437769886,0.004960061992419233,0.42501050108369876,0.00658940722164267
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,5,3601,2480,No railings,0.8622604998264493,0.00011975008677542753,0.8622607489597781,0.00047850208044386555,0.7984850302613479,0.0006809461887134826,0.30867882255273604,9.20193240580458e-05
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,classification,stratified_random_group_cv,StratifiedGroupKFold,5,3601,2480,,0.8622604998264493,0.00011975008677542753,0.7642333179226383,0.00418101297613501,0.7590660817367041,0.004346272875489305,0.33002068956635455,0.012753540392742489
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,classification,uniform_random_group_cv,StratifiedGroupKFold,5,3601,2480,,0.8622604998264493,0.00011975008677542753,0.32963091385421484,0.0035976999026894503,0.4283243302307705,0.004163422241244845,0.23081943797535306,0.006187439748197759
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,classification,majority_class_group_cv,GroupKFold,5,1416,804,Timber/Wood,0.6079688531415572,0.010898755463689175,0.6066152323831807,0.045498098249760664,0.4590812881472588,0.05577625389527962,0.09640209376067568,0.015882930214356487
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,classification,stratified_random_group_cv,GroupKFold,5,1416,804,,0.6079688531415572,0.010898755463689175,0.4094043867470618,0.038265880966822464,0.4056241226634243,0.049799258407495196,0.1058165310668947,0.025040099645074216
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,classification,uniform_random_group_cv,GroupKFold,5,1416,804,,0.6079688531415572,0.010898755463689175,0.09629174944415733,0.015579792207429713,0.13552758257533384,0.02146326243807338,0.05582133267792118,0.010519543097494507
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,classification,majority_class_group_cv,GroupKFold,5,2739,1758,Timber,0.8422926824271141,0.00867037959814762,0.8425086592108524,0.03459127903162659,0.7708748435733019,0.048892434333630004,0.23480299465726948,0.04093686114665999
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,classification,stratified_random_group_cv,GroupKFold,5,2739,1758,,0.8422926824271141,0.00867037959814762,0.7358694053393149,0.01815945906070471,0.7296351110847732,0.03506509367106401,0.21320104877632887,0.01105428962955257
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,classification,uniform_random_group_cv,GroupKFold,5,2739,1758,,0.8422926824271141,0.00867037959814762,0.2215758901171438,0.015865463387303404,0.3152807935026946,0.020627707490211377,0.11930576279036431,0.0047193695458971575
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,5,1038,613,At-Grade,0.5944123062647704,0.00044199709418680984,0.5944119286510591,0.001763797918873656,0.4432063750137226,0.002138927690722463,0.24853916076279853,0.0004628897389459213
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,classification,stratified_random_group_cv,StratifiedGroupKFold,5,1038,613,,0.5944123062647704,0.00044199709418680984,0.5096060943887031,0.028438647934047063,0.5043654092885783,0.029054408309000645,0.32839392840799286,0.019432292412825822
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,classification,uniform_random_group_cv,StratifiedGroupKFold,5,1038,613,,0.5944123062647704,0.00044199709418680984,0.31022389446302484,0.016758929059479108,0.36461665991752595,0.019727993018025348,0.261987286776357,0.015520335199933382
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,classification,majority_class_group_cv,GroupKFold,5,239,122,medium (1.2-5m),0.35138160679796643,0.015137660622485923,0.3498199871783664,0.055019473545622734,0.18385461492532254,0.047854398444648276,0.09294835355602868,0.01450807242151189
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,classification,stratified_random_group_cv,GroupKFold,5,239,122,,0.35138160679796643,0.015137660622485923,0.19675207623043972,0.04286884187344472,0.20734744297611604,0.044133888296268804,0.12217907189444191,0.04231964257016507
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,classification,uniform_random_group_cv,GroupKFold,5,239,122,,0.35138160679796643,0.015137660622485923,0.10199550514322349,0.042055890519204414,0.12757959941869107,0.04913354987704559,0.06651057443681788,0.023847611410969496
length_bin,length_bin,data/processed/train/length_bin_train.csv,classification,majority_class_group_cv,GroupKFold,5,2639,1744,short (<20m),0.32590760969769955,0.004952182834572819,0.3262960428283465,0.019961724131732965,0.16089169249594346,0.01729110020799873,0.04433598441587293,0.004753743854374285
length_bin,length_bin,data/processed/train/length_bin_train.csv,classification,stratified_random_group_cv,GroupKFold,5,2639,1744,,0.32590760969769955,0.004952182834572819,0.21758366332550655,0.022453371978588047,0.2152174892842022,0.021272611511566186,0.07188818274063681,0.00715440092557679
length_bin,length_bin,data/processed/train/length_bin_train.csv,classification,uniform_random_group_cv,GroupKFold,5,2639,1744,,0.32590760969769955,0.004952182834572819,0.06375640958724235,0.014168192910096338,0.08760764837148087,0.019038616478310576,0.03821169173393225,0.007782469645188493
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,classification,majority_class_group_cv,GroupKFold,5,52,29,few (<10),0.4419479228781554,0.0332759152965629,0.43963675213675213,0.1767281301880756,0.2892515455558934,0.1852673921705349,0.23657297613819353,0.09422869763155764
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,classification,stratified_random_group_cv,GroupKFold,5,52,29,,0.4419479228781554,0.0332759152965629,0.4032051282051282,0.09353381410186644,0.41688735647068975,0.0949551371037943,0.3653535353535353,0.09705175633788907
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,classification,uniform_random_group_cv,GroupKFold,5,52,29,,0.4419479228781554,0.0332759152965629,0.1405982905982906,0.11515012576927422,0.1582262182262182,0.1317741690510712,0.11064935064935064,0.0946671591915776
width_bin,width_bin,data/processed/train/width_bin_train.csv,classification,majority_class_group_cv,GroupKFold,5,2755,1734,standard (0.9-1.5m),0.5557679513676772,0.007087010123794897,0.5564906741381007,0.028729531757431585,0.39835550527874664,0.03403962851892548,0.11394073867550676,0.018329749920218137
width_bin,width_bin,data/processed/train/width_bin_train.csv,classification,stratified_random_group_cv,GroupKFold,5,2755,1734,,0.5557679513676772,0.007087010123794897,0.3834478233454516,0.011320099003704528,0.38521583316230507,0.018793929067951694,0.1311272580063322,0.01578479090821622
width_bin,width_bin,data/processed/train/width_bin_train.csv,classification,uniform_random_group_cv,GroupKFold,5,2755,1734,,0.5557679513676772,0.007087010123794897,0.12857894929705665,0.014650599180888494,0.18173550134755506,0.016074509864368168,0.07292190716938497,0.011139921581575639
