asset_id,timestamp,model,response,fall_height_bin_value,fall_height_bin_confidence,has_pedestrian_railing_value,has_pedestrian_railing_confidence,material_frame_tank_body_value,material_frame_tank_body_confidence,steps_bin_value,steps_bin_confidence,structure_position_value,structure_position_confidence
49705,2026-05-20T21:50:26.954958,gemini-3-flash-preview,"{
    ""fall_height"": {
        ""value"": ""low (<0.5m)"",
        ""confidence"": 0.9
    },
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    },
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    },
    ""number_of_steps"": {
        ""value"": ""many (>20)"",
        ""confidence"": 0.95
    },
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",low (<0.5m),0.9,No railings,1.0,Timber/Wood,1.0,many (>20),0.95,At-Grade,1.0
49710,2026-05-20T21:51:08.135663,gemini-3-flash-preview,"```json
{
  ""fall_height"": {
    ""value"": ""high (>1.2m)"",
    ""confidence"": 0.9
  },
  ""has_pedestrian_railing"": {
    ""value"": ""1 railing"",
    ""confidence"": 0.95
  },
  ""material_frame_tank_body"": {
    ""value"": ""Timber/Wood"",
    ""confidence"": 1.0
  },
  ""number_of_steps"": {
    ""value"": ""medium (10-20)"",
    ""confidence"": 0.9
  },
  ""structure_position"": {
    ""value"": ""At-Grade"",
    ""confidence"": 0.9
  }
}

```",high (>1.2m),0.9,1 railing,0.95,Timber/Wood,1.0,medium (10-20),0.9,At-Grade,0.9
49711,2026-05-20T21:51:42.585393,gemini-3-flash-preview,"{
    ""fall_height"": {
        ""value"": ""high (>1.2m)"",
        ""confidence"": 0.8
    },
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    },
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.95
    },
    ""number_of_steps"": {
        ""value"": ""few (<10)"",
        ""confidence"": 0.7
    },
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",high (>1.2m),0.8,1 railing,1.0,Timber/Wood,0.95,few (<10),0.7,At-Grade,0.9
47054,2026-05-20T21:58:32.920161,gemini-3-flash-preview,"{
    ""fall_height"": {
        ""value"": ""low (<0.5m)"",
        ""confidence"": 0.9
    },
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    },
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    },
    ""number_of_steps"": {
        ""value"": ""few (<10)"",
        ""confidence"": 1.0
    },
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",low (<0.5m),0.9,No railings,1.0,Timber/Wood,1.0,few (<10),1.0,At-Grade,0.9
47184,2026-05-20T21:59:26.582285,gemini-3-flash-preview,"{
    ""fall_height"": {
        ""value"": ""high (>1.2m)"",
        ""confidence"": 0.95
    },
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 0.99
    },
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.99
    },
    ""number_of_steps"": {
        ""value"": ""many (>20)"",
        ""confidence"": 0.98
    },
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.95
    }
}",high (>1.2m),0.95,2 railings,0.99,Timber/Wood,0.99,many (>20),0.98,Elevated,0.95
48394,2026-05-20T22:00:19.177204,gemini-3-flash-preview,"{
    ""fall_height"": {
        ""value"": ""low (<0.5m)"",
        ""confidence"": 0.9
    },
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    },
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 1.0
    },
    ""number_of_steps"": {
        ""value"": ""few (<10)"",
        ""confidence"": 1.0
    },
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",low (<0.5m),0.9,No railings,1.0,Concrete,1.0,few (<10),1.0,At-Grade,0.9
49501,2026-05-20T22:00:54.349037,gemini-3-flash-preview,"{
  ""fall_height"": {
    ""value"": ""low (<0.5m)"",
    ""confidence"": 0.9
  },
  ""has_pedestrian_railing"": {
    ""value"": ""No railings"",
    ""confidence"": 1.0
  },
  ""material_frame_tank_body"": {
    ""value"": ""Concrete"",
    ""confidence"": 0.9
  },
  ""number_of_steps"": {
    ""value"": ""many (>20)"",
    ""confidence"": 1.0
  },
  ""structure_position"": {
    ""value"": ""At-Grade"",
    ""confidence"": 0.95
  }
}",low (<0.5m),0.9,No railings,1.0,Concrete,0.9,many (>20),1.0,At-Grade,0.95
49707,2026-05-20T22:04:28.998861,gemini-3-flash-preview,"```json
{
    ""fall_height"": {
        ""value"": ""high (>1.2m)"",
        ""confidence"": 0.95
    },
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 0.98
    },
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    },
    ""number_of_steps"": {
        ""value"": ""many (>20)"",
        ""confidence"": 0.95
    },
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.85
    }
}
```",high (>1.2m),0.95,1 railing,0.98,Timber/Wood,1.0,many (>20),0.95,At-Grade,0.85
47053,2026-05-20T22:06:48.071975,gemini-3-flash-preview,"```json
{
  ""fall_height"": {
    ""value"": ""medium (0.5-1.2m)"",
    ""confidence"": 0.8
  },
  ""has_pedestrian_railing"": {
    ""value"": ""No railings"",
    ""confidence"": 1.0
  },
  ""material_frame_tank_body"": {
    ""value"": ""Concrete"",
    ""confidence"": 0.9
  },
  ""number_of_steps"": {
    ""value"": ""few (<10)"",
    ""confidence"": 1.0
  },
  ""structure_position"": {
    ""value"": ""At-Grade"",
    ""confidence"": 1.0
  }
}
```",medium (0.5-1.2m),0.8,No railings,1.0,Concrete,0.9,few (<10),1.0,At-Grade,1.0
49703,2026-05-20T22:07:07.508962,gemini-3-flash-preview,"{
    ""fall_height"": {
        ""value"": ""high (>1.2m)"",
        ""confidence"": 0.9
    },
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    },
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    },
    ""number_of_steps"": {
        ""value"": ""medium (10-20)"",
        ""confidence"": 0.95
    },
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",high (>1.2m),0.9,No railings,1.0,Timber/Wood,1.0,medium (10-20),0.95,At-Grade,1.0
