asset_id,timestamp,model,response,latency_s,has_pedestrian_railing_value,has_pedestrian_railing_confidence,parse_error,raw_response,error,traceback
49681,2026-05-28T02:37:06.358769,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",9.3,2 railings,1.0,,,,
49682,2026-05-28T02:37:14.626442,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",8.266,No railings,1.0,,,,
50231,2026-05-28T02:37:26.743071,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}
```",12.115,2 railings,1.0,,,,
50235,2026-05-28T02:37:40.474271,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",13.729,No railings,1.0,,,,
50625,2026-05-28T02:37:52.755979,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",12.278,2 railings,1.0,,,,
50654,2026-05-28T02:38:02.282194,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",9.474,No railings,1.0,,,,
50749,2026-05-28T02:38:12.446210,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",10.15,2 railings,1.0,,,,
51216,2026-05-28T02:38:25.934533,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",13.486,2 railings,1.0,,,,
51214,2026-05-28T02:38:35.452387,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",9.515,2 railings,1.0,,,,
51218,2026-05-28T02:38:43.850616,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",8.397,2 railings,1.0,,,,
51244,2026-05-28T02:39:13.669686,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}
```",29.813,1 railing,1.0,,,,
52242,2026-05-28T02:39:26.340714,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",12.667,2 railings,1.0,,,,
52457,2026-05-28T02:39:42.428565,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 0.95
    }
}",16.086,1 railing,0.95,,,,
52456,2026-05-28T02:39:51.940888,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",9.507,No railings,1.0,,,,
54184,2026-05-28T02:40:03.819471,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",11.877,No railings,1.0,,,,
55272,2026-05-28T02:40:12.938185,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",9.117,No railings,1.0,,,,
55636,2026-05-28T02:40:20.473909,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",7.524,2 railings,1.0,,,,
55640,2026-05-28T02:40:27.285150,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",6.81,2 railings,1.0,,,,
55641,2026-05-28T02:40:34.232728,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",6.947,No railings,1.0,,,,
56204,2026-05-28T02:40:47.141299,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 0.95
    }
}
```",12.907,2 railings,0.95,,,,
56205,2026-05-28T02:40:57.989822,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",10.843,2 railings,1.0,,,,
56469,2026-05-28T02:41:22.572351,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 0.9
    }
}
```",24.581,2 railings,0.9,,,,
56777,2026-05-28T02:41:28.820076,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",6.241,2 railings,1.0,,,,
56876,2026-05-28T02:41:36.858305,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}
```",8.037,2 railings,1.0,,,,
57507,2026-05-28T02:41:50.326199,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}
```",13.466,2 railings,1.0,,,,
58164,2026-05-28T02:41:58.716780,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",8.379,No railings,1.0,,,,
58955,2026-05-28T02:42:08.031069,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",9.312,No railings,1.0,,,,
58957,2026-05-28T02:42:17.045486,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",9.013,No railings,1.0,,,,
60126,2026-05-28T02:42:25.543116,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",8.496,2 railings,1.0,,,,
60528,2026-05-28T02:42:32.510114,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",6.964,2 railings,1.0,,,,
60956,2026-05-28T02:42:41.105507,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",8.586,No railings,1.0,,,,
61003,2026-05-28T02:42:51.038656,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",9.932,1 railing,1.0,,,,
61110,2026-05-28T02:43:08.248791,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 0.95
    }
}
```",17.209,1 railing,0.95,,,,
61113,2026-05-28T02:43:22.488261,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 0.95
    }
}
```",14.233,No railings,0.95,,,,
63071,2026-05-28T02:43:38.664782,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 0.95
    }
}
```",16.174,No railings,0.95,,,,
63217,2026-05-28T02:43:50.746648,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}
```",12.071,2 railings,1.0,,,,
63218,2026-05-28T02:44:02.233871,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",11.48,1 railing,1.0,,,,
63219,2026-05-28T02:44:18.497999,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 0.95
    }
}
```",16.258,1 railing,0.95,,,,
63389,2026-05-28T02:44:29.302233,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",10.799,2 railings,1.0,,,,
64100,2026-05-28T02:44:45.425189,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 0.95
    }
}",16.12,1 railing,0.95,,,,
64105,2026-05-28T02:44:54.738443,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",9.31,2 railings,1.0,,,,
64108,2026-05-28T02:45:02.830181,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",8.09,2 railings,1.0,,,,
64111,2026-05-28T02:45:25.625016,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 0.95
    }
}",22.792,2 railings,0.95,,,,
64114,2026-05-28T02:45:27.439650,gemma-4-26b-a4b-it,,1.809,,,True,,,
64118,2026-05-28T02:45:35.645482,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",8.205,2 railings,1.0,,,,
64142,2026-05-28T02:45:48.607802,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 0.95
    }
}",12.943,2 railings,0.95,,,,
65426,2026-05-28T02:45:56.198550,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",7.579,No railings,1.0,,,,
65427,2026-05-28T02:46:03.654413,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",7.45,No railings,1.0,,,,
66171,2026-05-28T02:46:31.516371,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 0.95
    }
}
```",27.861,2 railings,0.95,,,,
66173,2026-05-28T02:46:41.749294,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",10.226,No railings,1.0,,,,
66920,2026-05-28T02:46:55.171360,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 0.95
    }
}",13.42,2 railings,0.95,,,,
66922,2026-05-28T02:47:11.465769,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 0.9
    }
}",16.293,1 railing,0.9,,,,
80432,2026-05-28T02:47:19.748889,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",8.279,No railings,1.0,,,,
81415,2026-05-28T02:47:28.666741,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",8.911,No railings,1.0,,,,
81419,2026-05-28T02:47:38.593252,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",9.922,No railings,1.0,,,,
82270,2026-05-28T02:47:45.954180,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",7.356,No railings,1.0,,,,
82304,2026-05-28T02:47:57.631854,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",11.675,No railings,1.0,,,,
83138,2026-05-28T02:48:09.816937,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",12.183,No railings,1.0,,,,
83513,2026-05-28T02:48:19.762013,gemma-4-26b-a4b-it,"{""has_pedestrian_railing"": {""value"": ""No railings"", ""confidence"": 1.0}}",9.943,No railings,1.0,,,,
83815,2026-05-28T02:48:29.064076,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",9.298,2 railings,1.0,,,,
85208,2026-05-28T02:48:40.228402,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",11.163,No railings,1.0,,,,
86350,2026-05-28T02:48:48.930398,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",8.699,2 railings,1.0,,,,
86352,2026-05-28T02:48:57.023717,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",8.092,2 railings,1.0,,,,
86356,2026-05-28T02:49:04.903643,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}
```",7.874,2 railings,1.0,,,,
86365,2026-05-28T02:49:14.192435,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",9.288,2 railings,1.0,,,,
86369,2026-05-28T02:49:24.468089,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",10.253,2 railings,1.0,,,,
87188,2026-05-28T02:49:32.285776,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",7.812,No railings,1.0,,,,
87769,2026-05-28T02:49:49.368410,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 0.95
    }
}
```",17.081,No railings,0.95,,,,
88095,2026-05-28T02:50:14.569539,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 0.95
    }
}
```",25.195,1 railing,0.95,,,,
88104,2026-05-28T02:50:14.572885,gemma-4-26b-a4b-it,,0.001,,,True,,,
88129,2026-05-28T02:50:23.037585,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}
```",8.465,2 railings,1.0,,,,
88131,2026-05-28T02:50:34.000575,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}
```",10.962,2 railings,1.0,,,,
88132,2026-05-28T02:50:46.691282,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}
```",12.685,2 railings,1.0,,,,
88133,2026-05-28T02:50:55.804753,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",9.112,2 railings,1.0,,,,
88135,2026-05-28T02:51:05.235328,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",9.43,2 railings,1.0,,,,
88136,2026-05-28T02:51:13.931361,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",8.691,2 railings,1.0,,,,
88195,2026-05-28T02:51:20.387373,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",6.454,2 railings,1.0,,,,
88199,2026-05-28T02:51:30.519497,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",10.126,2 railings,1.0,,,,
88201,2026-05-28T02:52:30.529785,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 0.9
    }
}
```",60.008,2 railings,0.9,,,,
88267,2026-05-28T02:52:37.794783,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",7.255,No railings,1.0,,,,
88280,2026-05-28T02:52:46.506381,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",8.71,1 railing,1.0,,,,
88467,2026-05-28T02:53:00.434536,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}
```",13.923,2 railings,1.0,,,,
88736,2026-05-28T02:53:17.299978,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",16.864,2 railings,1.0,,,,
88741,2026-05-28T02:53:26.537707,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",9.233,No railings,1.0,,,,
88812,2026-05-28T02:53:34.635371,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",8.096,No railings,1.0,,,,
88814,2026-05-28T02:53:43.029007,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",8.373,No railings,1.0,,,,
88818,2026-05-28T02:53:52.957685,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",9.927,No railings,1.0,,,,
88823,2026-05-28T02:54:00.653923,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",7.694,No railings,1.0,,,,
88824,2026-05-28T02:54:10.168328,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",9.513,No railings,1.0,,,,
88838,2026-05-28T02:54:19.585333,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",9.411,No railings,1.0,,,,
88842,2026-05-28T02:54:28.288618,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",8.702,No railings,1.0,,,,
88845,2026-05-28T02:54:39.052942,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",10.76,No railings,1.0,,,,
88847,2026-05-28T02:54:47.560960,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",8.495,No railings,1.0,,,,
88848,2026-05-28T02:54:57.783763,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",10.217,No railings,1.0,,,,
88856,2026-05-28T02:55:07.099423,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 0.95
    }
}
```",9.31,No railings,0.95,,,,
88857,2026-05-28T02:55:19.251279,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",12.15,No railings,1.0,,,,
88859,2026-05-28T02:55:28.909033,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",9.652,No railings,1.0,,,,
88865,2026-05-28T02:55:37.387675,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",8.476,No railings,1.0,,,,
88866,2026-05-28T02:55:45.914961,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",8.526,No railings,1.0,,,,
88869,2026-05-28T02:55:55.742764,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",9.819,No railings,1.0,,,,
88871,2026-05-28T02:56:04.862128,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",9.113,No railings,1.0,,,,
89154,2026-05-28T02:56:13.155279,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",8.287,2 railings,1.0,,,,
89155,2026-05-28T02:56:24.010570,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",10.846,2 railings,1.0,,,,
89163,2026-05-28T02:56:32.702239,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}
```",8.684,2 railings,1.0,,,,
89177,2026-05-28T02:56:42.839689,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}
```",10.136,2 railings,1.0,,,,
89447,2026-05-28T02:56:51.955701,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",9.094,No railings,1.0,,,,
89450,2026-05-28T02:57:34.173804,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 0.85
    }
}",42.216,1 railing,0.85,,,,
89576,2026-05-28T02:57:44.588239,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",10.396,No railings,1.0,,,,
89580,2026-05-28T02:57:55.856580,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",11.267,No railings,1.0,,,,
89761,2026-05-28T02:58:16.846467,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 0.95
    }
}
```",20.987,No railings,0.95,,,,
90361,2026-05-28T02:58:26.023580,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",9.173,No railings,1.0,,,,
90641,2026-05-28T02:58:38.554189,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",12.529,No railings,1.0,,,,
90647,2026-05-28T02:58:52.482831,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}
```",13.926,2 railings,1.0,,,,
91248,2026-05-28T02:59:01.198961,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",8.713,2 railings,1.0,,,,
92090,2026-05-28T02:59:11.013600,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",9.813,No railings,1.0,,,,
92151,2026-05-28T02:59:18.272550,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",7.257,No railings,1.0,,,,
92160,2026-05-28T02:59:25.247211,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",6.969,No railings,1.0,,,,
92164,2026-05-28T02:59:34.462559,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",9.214,No railings,1.0,,,,
