asset_id,timestamp,model,response,latency_s,fall_height_bin_value,fall_height_bin_confidence,parse_error,raw_response,error,traceback,length_bin_value,length_bin_confidence,width_bin_value,width_bin_confidence,has_pedestrian_railing_value,has_pedestrian_railing_confidence,abutment_material_value,abutment_material_confidence,bridge_type_value,bridge_type_confidence,decking_material_value,decking_material_confidence,structure_material_value,structure_material_confidence
49061,,,,,,,,,,,short (<6m),0.9,standard (0.9-1.5m),0.85,No railings,1.0,Concrete,0.9,Beam,1.0,Timber,0.95,Steel,0.9
49243,,,,,,,,,,,medium (6-20m),0.75,,,No railings,1.0,unable to determine,0.0,,,,,,
49430,,,,,,,,,,,,,standard (0.9-1.5m),0.8,No railings,1.0,,,,,,,,
49679,,,,,,,,,,,,,standard (0.9-1.5m),0.75,1 railing,1.0,,,,,,,,
49681,,,,,,,,,,,,,standard (0.9-1.5m),0.8,2 railings,1.0,,,,,,,,
49682,,,,,,,,,,,,,standard (0.9-1.5m),0.8,No railings,1.0,,,,,,,,
50231,,,,,,,,,,,,,standard (0.9-1.5m),0.85,2 railings,1.0,,,,,,,,
50235,,,,,,,,,,,,,standard (0.9-1.5m),0.8,No railings,1.0,,,,,,,,
50625,,,,,,,,,,,,,standard (0.9-1.5m),0.85,2 railings,1.0,,,,,,,,
50654,,,,,,,,,,,short (<6m),0.85,standard (0.9-1.5m),0.8,No railings,1.0,Timber,0.8,Beam,0.95,Timber,0.95,Timber,0.95
50749,,,,,,,,,,,,,standard (0.9-1.5m),0.85,2 railings,1.0,,,,,,,,
51214,,,,,,,,,,,,,standard (0.9-1.5m),0.75,2 railings,1.0,,,,,,,,
51216,,,,,,,,,,,,,standard (0.9-1.5m),0.85,2 railings,1.0,,,,,,,,
51218,,,,,,,,,,,,,standard (0.9-1.5m),0.8,2 railings,1.0,,,,,,,,
51244,,,,,,,,,,,,,standard (0.9-1.5m),0.85,1 railing,1.0,,,,,,,,
51524,,,,,,,,,,,medium (6-20m),0.8,standard (0.9-1.5m),0.8,,,Concrete,0.9,Beam,0.9,Steel,0.9,Steel,0.85
51525,,,,,,,,,,,long (>20m),0.85,standard (0.9-1.5m),0.8,,,,,Suspension,1.0,Steel,0.9,Steel,0.95
51531,,,,,,,,,,,short (<6m),0.7,standard (0.9-1.5m),0.85,,,Steel,0.8,Beam,0.95,Timber,0.95,Timber,0.9
52242,,,,,,,,,,,,,standard (0.9-1.5m),0.8,2 railings,1.0,,,,,,,,
52456,,,,,,,,,,,,,standard (0.9-1.5m),0.8,No railings,1.0,,,,,,,,
52457,2026-05-27T21:01:39.248297,gemma-4-26b-a4b-it,"```json
{
    ""fall_height"": {
        ""value"": ""medium (1.2-5m)"",
        ""confidence"": 0.85
    }
}
```",13.635,medium (1.2-5m),0.85,,,,,medium (6-20m),0.7,standard (0.9-1.5m),0.8,1 railing,0.95,Concrete,0.95,Beam,0.95,Steel,0.9,,
52551,,,,,,,,,,,medium (6-20m),0.8,standard (0.9-1.5m),0.8,,,Concrete,0.9,Beam,0.95,Timber,1.0,Timber,1.0
53193,,,,,,,,,,,medium (6-20m),0.8,standard (0.9-1.5m),0.85,,,,,,,Timber,0.95,Timber,0.9
53798,,,,,,,,,,,medium (6-20m),0.85,standard (0.9-1.5m),0.85,,,Timber,0.7,Truss,0.95,Timber,0.95,Timber,1.0
53985,,,,,,,,,,,,,standard (0.9-1.5m),0.8,,,unable to determine,0.0,Beam,0.95,Steel,0.9,Timber,0.9
53986,,,,,,,,,,,medium (6-20m),0.85,standard (0.9-1.5m),0.85,,,unable to determine,0.0,Truss,0.95,unable to determine,0.0,Timber,0.95
54184,,,,,,,,,,,medium (6-20m),0.75,standard (0.9-1.5m),0.8,No railings,1.0,,,,,Timber,0.98,Timber,0.98
54321,,,,,,,,,,,,,standard (0.9-1.5m),0.85,,,,,,,Timber,0.9,Timber,0.95
54324,,,,,,,,,,,long (>20m),0.95,standard (0.9-1.5m),0.8,,,Steel,0.9,Suspension,1.0,Steel,0.95,Steel,0.95
55272,,,,,,,,,,,,,standard (0.9-1.5m),0.7,No railings,1.0,,,,,,,,
55636,,,,,,,,,,,,,standard (0.9-1.5m),0.8,2 railings,1.0,,,,,,,,
55640,,,,,,,,,,,medium (6-20m),0.7,standard (0.9-1.5m),0.8,2 railings,1.0,Timber,0.9,Truss,0.95,Timber,0.95,Timber,0.9
55641,,,,,,,,,,,,,narrow (<0.9m),0.9,No railings,1.0,,,,,,,,
56204,,,,,,,,,,,,,standard (0.9-1.5m),0.8,2 railings,0.95,,,,,,,,
56205,,,,,,,,,,,,,standard (0.9-1.5m),0.85,2 railings,1.0,,,,,,,,
56206,,,,,,,,,,,,,standard (0.9-1.5m),0.75,,,,,,,Timber,0.95,,
56469,,,,,,,,,,,short (<6m),0.9,standard (0.9-1.5m),0.8,2 railings,0.9,Timber,0.9,Beam,0.95,Timber,0.95,Timber,1.0
56533,,,,,,,,,,,medium (6-20m),0.8,standard (0.9-1.5m),0.9,,,,,Truss,0.95,Timber,0.95,Timber,0.95
56777,,,,,,,,,,,,,standard (0.9-1.5m),0.8,2 railings,1.0,,,,,,,,
56876,,,,,,,,,,,medium (6-20m),0.75,standard (0.9-1.5m),0.8,2 railings,1.0,unable to determine,0.0,Beam,0.95,Timber,0.95,,
57507,,,,,,,,,,,,,standard (0.9-1.5m),0.85,2 railings,1.0,,,,,,,,
57834,,,,,,,,,,,medium (6-20m),0.75,standard (0.9-1.5m),0.8,,,Concrete,0.95,Beam,0.95,Timber,0.95,Steel,0.9
58162,,,,,,,,,,,medium (6-20m),0.8,narrow (<0.9m),0.9,,,Timber,0.9,Beam,1.0,Steel,0.9,Steel,0.95
58164,,,,,,,,,,,,,narrow (<0.9m),0.9,No railings,1.0,Timber,0.8,,,Timber,0.95,Timber,0.95
58955,,,,,,,,,,,long (>20m),0.8,standard (0.9-1.5m),0.8,No railings,1.0,unable to determine,0.0,Beam,0.9,Timber,0.9,Timber,0.9
58957,,,,,,,,,,,,,standard (0.9-1.5m),0.8,No railings,1.0,,,,,,,,
59060,2026-05-27T21:01:53.160435,gemma-4-26b-a4b-it,"```json
{
    ""fall_height"": {
        ""value"": ""low (<1.2m)"",
        ""confidence"": 0.95
    }
}
```",13.902,low (<1.2m),0.95,,,,,,,wide (>1.5m),0.9,,,Timber,0.95,,,Timber,1.0,Timber,1.0
60126,,,,,,,,,,,,,standard (0.9-1.5m),0.8,2 railings,1.0,,,,,,,,
60528,,,,,,,,,,,,,standard (0.9-1.5m),0.8,2 railings,1.0,,,,,,,,
60956,,,,,,,,,,,,,standard (0.9-1.5m),0.75,No railings,1.0,,,,,,,,
61003,,,,,,,,,,,medium (6-20m),0.7,standard (0.9-1.5m),0.8,1 railing,1.0,unable to determine,0.0,Beam,0.95,Timber,0.9,Timber,0.95
61110,,,,,,,,,,,,,standard (0.9-1.5m),0.75,1 railing,0.95,,,,,,,,
61113,,,,,,,,,,,,,narrow (<0.9m),0.9,No railings,0.95,,,,,,,,
62289,,,,,,,,,,,short (<6m),0.9,,,,,,,,,,,Timber,0.95
63068,2026-05-27T21:02:25.796981,gemma-4-26b-a4b-it,"```json
{
    ""fall_height"": {
        ""value"": ""low (<1.2m)"",
        ""confidence"": 0.7
    }
}
```",32.631,low (<1.2m),0.7,,,,,medium (6-20m),0.7,standard (0.9-1.5m),0.85,,,Concrete,0.9,Truss,1.0,Timber,0.95,Steel,0.85
63071,,,,,,,,,,,,,,,No railings,0.95,,,,,,,,
63217,,,,,,,,,,,,,standard (0.9-1.5m),0.85,2 railings,1.0,,,,,,,,
63218,,,,,,,,,,,,,standard (0.9-1.5m),0.8,1 railing,1.0,,,,,,,,
63219,,,,,,,,,,,,,standard (0.9-1.5m),0.85,1 railing,0.95,,,,,,,,
63389,2026-05-27T21:02:41.999388,gemma-4-26b-a4b-it,"```json
{
    ""fall_height"": {""value"": ""low (<1.2m)"", ""confidence"": 0.9}
}
```",16.19,low (<1.2m),0.9,,,,,,,standard (0.9-1.5m),0.9,2 railings,1.0,,,,,,,,
63597,,,,,,,,,,,medium (6-20m),0.7,standard (0.9-1.5m),0.7,,,unable to determine,0.0,Suspension,1.0,Steel,0.9,Steel,0.95
64100,,,,,,,,,,,,,standard (0.9-1.5m),0.85,1 railing,0.95,,,,,,,,
64102,2026-05-27T21:02:53.053423,gemma-4-26b-a4b-it,"{""fall_height"": {""value"": ""low (<1.2m)"", ""confidence"": 0.95}}",11.047,low (<1.2m),0.95,,,,,medium (6-20m),0.6,standard (0.9-1.5m),0.7,,,Timber,0.85,,,Timber,0.95,Timber,0.95
64105,,,,,,,,,,,,,standard (0.9-1.5m),0.8,2 railings,1.0,,,,,,,,
64108,,,,,,,,,,,,,standard (0.9-1.5m),0.75,2 railings,1.0,,,,,,,,
64111,,,,,,,,,,,,,standard (0.9-1.5m),0.8,2 railings,0.95,,,,,,,,
64114,,,,,,,,,,,,,standard (0.9-1.5m),0.85,,,,,,,,,,
64118,,,,,,,,,,,,,standard (0.9-1.5m),0.75,2 railings,1.0,,,,,,,,
64126,2026-05-27T21:03:04.717751,gemma-4-26b-a4b-it,"```json
{
    ""fall_height"": {""value"": ""low (<1.2m)"", ""confidence"": 0.9}
}
```",11.661,low (<1.2m),0.9,,,,,,,standard (0.9-1.5m),0.8,,,Timber,0.9,Beam,0.95,Timber,0.95,Timber,1.0
64142,,,,,,,,,,,,,standard (0.9-1.5m),0.8,2 railings,0.95,,,,,,,,
64643,,,,,,,,,,,medium (6-20m),0.75,narrow (<0.9m),0.85,,,Timber,0.8,Beam,0.95,Steel,0.85,Timber,0.9
65423,,,,,,,,,,,,,standard (0.9-1.5m),0.85,,,,,Truss,1.0,Steel,0.9,Aluminum,0.85
65425,,,,,,,,,,,,,standard (0.9-1.5m),0.8,,,Timber,0.9,Truss,0.95,Timber,0.95,Timber,0.9
65426,,,,,,,,,,,,,narrow (<0.9m),0.85,No railings,1.0,,,,,,,,
65427,,,,,,,,,,,,,narrow (<0.9m),0.8,No railings,1.0,,,,,,,,
65609,,,,,,,,,,,short (<6m),0.85,standard (0.9-1.5m),0.85,,,Concrete,0.95,Beam,1.0,Concrete,0.95,Concrete,0.95
65788,,,,,,,,,,,medium (6-20m),0.8,standard (0.9-1.5m),0.85,,,Concrete,0.95,Truss,1.0,Aluminum,0.9,Aluminum,0.9
65789,,,,,,,,,,,medium (6-20m),0.7,standard (0.9-1.5m),0.85,,,Steel,0.9,Suspension,1.0,Steel,0.9,Steel,0.95
66171,,,,,,,,,,,,,standard (0.9-1.5m),0.85,2 railings,0.95,,,,,,,,
66173,,,,,,,,,,,,,narrow (<0.9m),0.75,No railings,1.0,,,,,,,,
66920,,,,,,,,,,,medium (6-20m),0.8,standard (0.9-1.5m),0.85,2 railings,0.95,unable to determine,0.0,Truss,1.0,Timber,0.9,Steel,0.9
66922,,,,,,,,,,,,,standard (0.9-1.5m),0.8,1 railing,0.9,unable to determine,0.0,Beam,0.9,Timber,0.85,Timber,0.95
67205,,,,,,,,,,,medium (6-20m),0.75,standard (0.9-1.5m),0.85,,,Concrete,1.0,Beam,0.9,Timber,0.9,Timber,1.0
80432,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
81415,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
81419,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
82270,,,,,,,,,,,short (<6m),0.9,standard (0.9-1.5m),0.8,No railings,1.0,Timber,0.8,Beam,0.95,Timber,0.95,Timber,0.95
82304,,,,,,,,,,,,,standard (0.9-1.5m),0.85,No railings,1.0,,,,,,,,
82379,,,,,,,,,,,,,,,,,,,,,Timber,0.95,,
82385,,,,,,,,,,,medium (6-20m),0.7,standard (0.9-1.5m),0.85,,,,,Beam,0.95,Timber,0.98,Timber,1.0
83138,,,,,,,,,,,,,,,No railings,1.0,unable to determine,0.0,Beam,0.95,Timber,0.95,Timber,1.0
83150,,,,,,,,,,,medium (6-20m),0.8,standard (0.9-1.5m),0.85,,,Timber,0.9,Beam,0.95,Timber,0.95,Timber,1.0
83513,,,,,,,,,,,short (<6m),0.8,standard (0.9-1.5m),0.8,No railings,1.0,Timber,0.9,Beam,0.95,Timber,0.95,Timber,0.98
83815,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
85208,,,,,,,,,,,,,,,No railings,1.0,unable to determine,0.0,Beam,0.9,Timber,0.95,Timber,1.0
85487,,,,,,,,,,,,,,,,,Timber,0.9,Beam,0.95,Timber,0.95,Timber,0.95
86350,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
86352,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
86356,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
86365,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
86369,,,,,,,,,,,,,standard (0.9-1.5m),0.85,2 railings,1.0,unable to determine,0.0,Beam,0.95,Timber,0.95,Timber,0.95
86525,,,,,,,,,,,medium (6-20m),0.7,standard (0.9-1.5m),0.85,,,Timber,0.9,Truss,0.95,Timber,0.95,Timber,0.98
86599,,,,,,,,,,,medium (6-20m),0.85,standard (0.9-1.5m),0.85,,,Timber,0.85,Truss,1.0,Timber,0.9,,
87188,,,,,,,,,,,short (<6m),0.9,standard (0.9-1.5m),0.7,No railings,1.0,,,Beam,0.95,Timber,0.98,Timber,1.0
87483,,,,,,,,,,,medium (6-20m),0.8,standard (0.9-1.5m),0.85,,,unable to determine,0.0,Beam,0.95,Timber,0.95,Timber,1.0
87769,,,,,,,,,,,,,wide (>1.5m),0.85,No railings,0.95,unable to determine,0.0,Beam,0.95,Timber,0.95,Timber,0.98
87928,,,,,,,,,,,,,,,,,unable to determine,0.0,Truss,0.95,Timber,0.95,Aluminum,0.9
88095,,,,,,,,,,,,,,,1 railing,0.95,,,,,,,,
88104,,,,,,,,,,,,,,,,,,,,,,,,
88129,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
88131,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
88132,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
88133,2026-05-27T21:03:16.535109,gemma-4-26b-a4b-it,"```json
{
    ""fall_height"": {""value"": ""low (<1.2m)"", ""confidence"": 0.9}
}
```",11.805,low (<1.2m),0.9,,,,,short (<6m),0.9,,,2 railings,1.0,,,,,,,,
88135,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
88136,,,,,,,,,,,medium (6-20m),0.8,,,2 railings,1.0,,,,,,,,
88195,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
88199,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
88201,,,,,,,,,,,,,,,2 railings,0.9,,,,,,,Steel,0.85
88267,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
88280,,,,,,,,,,,medium (6-20m),0.8,,,1 railing,1.0,,,,,Timber,0.95,Timber,0.95
88467,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
88733,,,,,,,,,,,medium (6-20m),0.7,standard (0.9-1.5m),0.8,,,Concrete,0.85,Beam,0.95,Timber,0.9,Timber,0.95
88736,,,,,,,,,,,,,standard (0.9-1.5m),0.85,2 railings,1.0,,,,,,,,
88741,,,,,,,,,,,,,narrow (<0.9m),0.95,No railings,1.0,,,,,,,,
88812,,,,,,,,,,,,,,,No railings,1.0,,,,,Timber,0.95,Timber,1.0
88814,,,,,,,,,,,,,,,No railings,1.0,,,,,Timber,0.95,Timber,1.0
88818,,,,,,,,,,,,,,,No railings,1.0,,,,,Timber,0.95,Timber,1.0
88823,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
88824,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
88838,,,,,,,,,,,,,,,No railings,1.0,,,,,Timber,0.98,Timber,1.0
88842,,,,,,,,,,,,,,,No railings,1.0,,,,,Timber,1.0,Timber,1.0
88845,,,,,,,,,,,,,,,No railings,1.0,,,,,Timber,0.95,Timber,1.0
88847,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
88848,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
88856,,,,,,,,,,,,,,,No railings,0.95,,,,,Timber,1.0,Timber,1.0
88857,,,,,,,,,,,,,,,No railings,1.0,,,,,Timber,0.95,Timber,1.0
88859,,,,,,,,,,,,,,,No railings,1.0,,,,,Timber,0.95,Timber,0.95
88865,,,,,,,,,,,,,,,No railings,1.0,,,,,Timber,0.95,Timber,1.0
88866,,,,,,,,,,,,,,,No railings,1.0,,,,,Timber,0.95,Timber,1.0
88869,,,,,,,,,,,,,,,No railings,1.0,,,,,Timber,0.95,Timber,0.98
88871,,,,,,,,,,,,,,,No railings,1.0,,,,,Timber,0.95,Timber,1.0
89154,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
89155,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
89163,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
89177,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
89437,,,,,,,,,,,medium (6-20m),0.7,standard (0.9-1.5m),0.75,,,unable to determine,0.0,Truss,0.95,Timber,0.95,Timber,1.0
89447,,,,,,,,,,,short (<6m),0.9,narrow (<0.9m),0.75,No railings,1.0,unable to determine,0.0,Beam,0.95,Timber,0.95,Timber,1.0
89450,,,,,,,,,,,medium (6-20m),0.7,standard (0.9-1.5m),0.8,1 railing,0.85,unable to determine,0.0,Beam,0.95,Timber,0.95,Timber,0.95
89576,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
89580,,,,,,,,,,,short (<6m),0.9,standard (0.9-1.5m),0.8,No railings,1.0,unable to determine,0.0,Beam,0.9,Timber,0.95,Timber,0.95
89761,,,,,,,,,,,short (<6m),0.9,standard (0.9-1.5m),0.85,No railings,0.95,Timber,0.9,Beam,1.0,Timber,0.98,Timber,1.0
89767,,,,,,,,,,,,,,,,,,,,,,,,
90361,,,,,,,,,,,short (<6m),0.95,narrow (<0.9m),0.7,No railings,1.0,Timber,0.9,Beam,0.95,Timber,0.95,,
90408,,,,,,,,,,,medium (6-20m),0.7,standard (0.9-1.5m),0.85,,,Timber,0.9,Beam,0.9,Timber,0.98,Timber,1.0
90412,,,,,,,,,,,long (>20m),0.8,standard (0.9-1.5m),0.85,,,unable to determine,0.0,Beam,0.95,Timber,0.95,,
90641,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
90647,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
91248,,,,,,,,,,,,,,,2 railings,1.0,Timber,0.9,Beam,0.95,Timber,0.95,Timber,1.0
91253,,,,,,,,,,,medium (6-20m),0.7,,,,,,,,,Timber,0.95,,
91832,,,,,,,,,,,short (<6m),0.9,standard (0.9-1.5m),0.8,,,Timber,0.8,Beam,0.95,Timber,0.95,Timber,1.0
92090,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
92151,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
92160,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
92164,,,,,,,,,,,short (<6m),0.6,narrow (<0.9m),0.8,No railings,1.0,unable to determine,0.0,Beam,0.9,Timber,0.9,Timber,0.95
92794,,,,,,,,,,,short (<6m),0.9,narrow (<0.9m),0.8,,,Timber,0.8,Beam,0.95,Steel,0.8,Timber,0.9
92801,,,,,,,,,,,short (<6m),0.95,standard (0.9-1.5m),0.85,No railings,1.0,unable to determine,0.0,Beam,0.95,Timber,0.95,Timber,1.0
92854,,,,,,,,,,,short (<6m),0.95,standard (0.9-1.5m),0.8,2 railings,0.95,Concrete,0.95,Beam,0.95,Timber,1.0,Timber,0.95
92872,,,,,,,,,,,short (<6m),0.8,,,,,Timber,0.9,Beam,0.95,Timber,0.85,Timber,0.95
93036,,,,,,,,,,,short (<6m),0.9,standard (0.9-1.5m),0.75,1 railing,0.95,Timber,0.9,Beam,0.8,Timber,0.9,Timber,0.95
93038,,,,,,,,,,,short (<6m),0.9,standard (0.9-1.5m),0.7,No railings,1.0,Timber,0.85,Beam,0.95,Timber,0.95,Timber,0.95
93043,,,,,,,,,,,short (<6m),0.7,standard (0.9-1.5m),0.75,No railings,1.0,unable to determine,0.0,Beam,0.9,Concrete,0.7,Timber,0.8
94144,,,,,,,,,,,,,standard (0.9-1.5m),0.8,,,Timber,0.9,Truss,0.95,Aluminum,0.85,Steel,0.7
94172,,,,,,,,,,,,,,,2 railings,0.95,,,,,,,,
94177,,,,,,,,,,,,,narrow (<0.9m),0.85,,,unable to determine,0.0,,,Timber,0.98,Timber,1.0
95947,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
95948,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
96291,,,,,,,,,,,,,narrow (<0.9m),0.7,No railings,1.0,,,Beam,0.95,Timber,0.9,Timber,0.95
96292,,,,,,,,,,,,,standard (0.9-1.5m),0.8,No railings,1.0,,,Beam,0.95,Timber,0.95,Timber,0.98
96854,,,,,,,,,,,,,,,,,Timber,0.85,Truss,0.8,Timber,0.95,Timber,0.95
96884,,,,,,,,,,,,,,,1 railing,1.0,,,,,,,,
97442,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
97444,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
97446,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
97447,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
97817,,,,,,,,,,,,,standard (0.9-1.5m),0.85,,,Gabions,1.0,,,Timber,0.98,Timber,1.0
98336,,,,,,,,,,,,,standard (0.9-1.5m),0.85,,,Timber,0.9,Beam,0.95,Timber,0.95,Timber,0.95
98498,,,,,,,,,,,,,standard (0.9-1.5m),0.8,,,Concrete,0.95,Beam,0.95,Timber,0.95,Timber,1.0
98531,,,,,,,,,,,medium (6-20m),0.75,standard (0.9-1.5m),0.85,,,unable to determine,0.0,Beam,0.95,Timber,0.85,,
99455,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
99611,,,,,,,,,,,medium (6-20m),0.8,standard (0.9-1.5m),0.85,,,unable to determine,0.0,Beam,0.95,Timber,0.95,Steel,0.9
99614,,,,,,,,,,,long (>20m),0.85,standard (0.9-1.5m),0.85,,,Timber,0.95,,,Timber,0.95,Timber,1.0
99844,,,,,,,,,,,short (<6m),0.9,standard (0.9-1.5m),0.7,,,Timber,0.9,Beam,1.0,Timber,0.9,Timber,0.95
100140,2026-05-27T21:03:35.964075,gemma-4-26b-a4b-it,"```json
{
    ""fall_height"": {""value"": ""low (<1.2m)"", ""confidence"": 0.95}
}
```",19.413,low (<1.2m),0.95,,,,,medium (6-20m),0.7,standard (0.9-1.5m),0.85,,,Concrete,0.95,Beam,0.95,Timber,1.0,Timber,1.0
100181,,,,,,,,,,,short (<6m),0.8,standard (0.9-1.5m),0.85,,,unable to determine,0.0,,,Timber,0.98,Timber,1.0
100272,,,,,,,,,,,short (<6m),0.75,standard (0.9-1.5m),0.85,,,Gabions,1.0,Beam,0.95,Timber,0.95,Timber,1.0
100347,,,,,,,,,,,short (<6m),0.8,narrow (<0.9m),0.9,No railings,1.0,Timber,0.8,Beam,0.95,Timber,0.95,Timber,1.0
100348,,,,,,,,,,,short (<6m),0.75,narrow (<0.9m),0.9,No railings,1.0,Timber,0.8,Beam,0.95,Timber,0.95,Timber,0.98
100446,,,,,,,,,,,short (<6m),0.9,standard (0.9-1.5m),0.85,,,Timber,0.9,Beam,0.95,Timber,0.98,Timber,1.0
100475,,,,,,,,,,,medium (6-20m),0.85,standard (0.9-1.5m),0.8,,,Timber,0.9,Beam,0.9,Timber,1.0,Timber,1.0
100751,,,,,,,,,,,short (<6m),0.95,,,No railings,1.0,,,,,,,,
100752,,,,,,,,,,,medium (6-20m),0.7,,,2 railings,0.95,,,,,,,,
100757,,,,,,,,,,,,,unable to determine,0.0,,,unable to determine,0.0,unable to determine,0.0,Timber,0.95,Timber,1.0
100758,,,,,,,,,,,,,standard (0.9-1.5m),0.7,,,unable to determine,0.0,Beam,0.8,Timber,1.0,Timber,1.0
100826,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
100837,,,,,,,,,,,,,,,No railings,1.0,,,,,,,,
101132,,,,,,,,,,,short (<6m),0.9,standard (0.9-1.5m),0.85,,,,,Beam,0.95,Timber,1.0,,
101541,,,,,,,,,,,,,,,2 railings,1.0,,,,,,,,
101826,,,,,,,,,,,long (>20m),0.8,standard (0.9-1.5m),0.8,No railings,0.95,unable to determine,0.0,Suspension,1.0,Aluminum,0.95,Aluminum,0.85
101831,,,,,,,,,,,short (<6m),0.9,standard (0.9-1.5m),0.75,No railings,0.95,,,Beam,0.95,Timber,0.95,,
101890,,,,,,,,,,,medium (6-20m),0.7,standard (0.9-1.5m),0.8,2 railings,1.0,Timber,0.9,Beam,0.95,Timber,0.95,Timber,1.0
101988,,,,,,,,,,,,,standard (0.9-1.5m),0.75,No railings,0.9,Timber,0.9,Beam,0.95,Timber,0.95,Timber,0.98
102341,,,,,,,,,,,,,,,No railings,1.0,unable to determine,0.0,Beam,0.9,Timber,0.85,,
102344,,,,,,,,,,,,,,,No railings,1.0,unable to determine,0.0,Beam,0.9,Timber,0.85,,
102352,,,,,,,,,,,,,,,No railings,1.0,Timber,0.9,Beam,0.95,Timber,0.95,,
