asset_id,timestamp,model,response,structure_position_value,structure_position_confidence,parse_error,has_pedestrian_railing_value,has_pedestrian_railing_confidence,material_frame_tank_body_value,material_frame_tank_body_confidence,fall_height_bin_value,fall_height_bin_confidence,steps_bin_value,steps_bin_confidence
49705,2026-05-27T07:58:02.581392,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Timber/Wood,0.95,,,,
49707,2026-05-27T07:58:12.515093,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,,1 railing,1.0,Timber/Wood,1.0,,,,
49710,2026-05-27T07:58:21.113118,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,1 railing,0.95,Timber/Wood,1.0,,,,
49711,2026-05-27T07:58:33.785317,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,1 railing,0.95,Timber/Wood,1.0,,,,
50514,2026-05-27T07:58:42.626235,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Timber/Wood,0.95,,,,
50723,2026-05-27T07:59:14.685149,gemini-3-flash-preview,"```json
{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.85
    }
}
```",Elevated,0.85,,1 railing,0.9,Concrete,1.0,,,,
50805,2026-05-27T07:59:30.036189,gemini-3-flash-preview,"```json
{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}
```",At-Grade,0.9,,2 railings,0.9,Timber/Wood,0.95,,,,
51270,2026-05-27T07:59:39.254578,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 1.0
    }
}",Elevated,1.0,,2 railings,1.0,Timber/Wood,1.0,,,,
51458,2026-05-27T07:59:48.161696,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Concrete,1.0,,,,
51536,2026-05-27T07:59:56.557499,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Timber/Wood,0.95,,,,
51537,2026-05-27T08:00:06.215657,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.95
    }
}",Elevated,0.95,,2 railings,1.0,Timber/Wood,1.0,high,0.9,,
51545,,,,,,,,,Metal,1.0,,,,
51695,2026-05-27T08:00:15.400830,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,0.95,Concrete,0.9,,,few (<10),0.9
51804,2026-05-27T08:00:26.822173,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,,,Timber/Wood,0.9,,,,
51805,,,,,,,unable to determine,0.0,unable to determine,0.0,,,,
52162,2026-05-27T08:00:37.314390,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,,,,Timber/Wood,1.0,,,,
52248,2026-05-27T08:00:48.269329,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 1.0
    }
}",Elevated,1.0,,2 railings,1.0,Timber/Wood,1.0,,,,
52621,,,,,,,2 railings,1.0,Timber/Wood,0.95,,,,
52622,2026-05-27T08:00:59.129785,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,,,Timber/Wood,0.95,,,,
52952,2026-05-27T08:01:11.010874,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.9
    }
}",Elevated,0.9,,2 railings,1.0,Timber/Wood,0.95,,,,
53110,2026-05-27T08:01:19.610926,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,,,Timber/Wood,0.95,,,,
53111,2026-05-27T08:01:27.807545,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,,,Timber/Wood,0.95,,,,
53212,2026-05-27T08:01:41.217891,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,,,Timber/Wood,1.0,,,,
53214,2026-05-27T08:01:51.356884,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,,,Timber/Wood,0.9,,,,
53221,2026-05-27T08:02:10.828751,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,,,,,,,,,
53222,2026-05-27T08:02:20.443104,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,,,,Concrete,1.0,,,,
53428,2026-05-27T08:02:29.962883,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,,,Concrete,0.95,,,,
53688,2026-05-27T08:02:39.077594,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,,,Concrete,1.0,,,,
53805,2026-05-27T08:02:50.137013,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,,,Rock/Stone,0.95,,,,
53807,2026-05-27T08:03:01.298017,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,1 railing,1.0,Concrete,1.0,,,,
53808,2026-05-27T08:03:11.642822,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,,,Timber/Wood,1.0,,,,
54159,2026-05-27T08:03:20.242968,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,,,Rock/Stone,0.95,,,,
54208,2026-05-27T08:03:30.996313,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.95
    }
}",Elevated,0.95,,1 railing,1.0,Timber/Wood,0.95,,,,
54335,2026-05-27T08:03:43.184742,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,2 railings,1.0,Timber/Wood,1.0,,,,
54337,2026-05-27T08:03:52.295767,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,,,Timber/Wood,0.95,,,,
54506,2026-05-27T08:04:01.411436,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,,,Rock/Stone,0.95,,,,
55707,2026-05-27T08:04:10.095992,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 1.0
    }
}",Elevated,1.0,,2 railings,1.0,Timber/Wood,1.0,,,,
55708,2026-05-27T08:04:19.234433,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Timber/Wood,0.95,,,,
55912,2026-05-27T08:04:29.776295,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,1 railing,1.0,Concrete,1.0,,,,
56479,2026-05-27T08:04:40.224906,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Timber/Wood,1.0,,,,
56563,2026-05-27T08:04:49.207131,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,1 railing,1.0,Timber/Wood,0.95,,,,
56878,2026-05-27T08:05:00.643172,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Timber/Wood,1.0,,,,
57224,2026-05-27T08:05:15.658112,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,,2 railings,1.0,Timber/Wood,1.0,,,,
57614,2026-05-27T08:05:24.354066,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.95
    }
}",Elevated,0.95,,2 railings,1.0,Timber/Wood,1.0,,,,
57673,2026-05-27T08:05:34.555971,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Concrete,0.9,,,,
57674,2026-05-27T08:05:43.709612,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Timber/Wood,0.95,,,,
58180,2026-05-27T08:05:54.358634,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Timber/Wood,1.0,,,,
58182,2026-05-27T08:06:03.878251,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,,2 railings,1.0,Concrete,1.0,,,,
60066,2026-05-27T08:06:13.299546,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Concrete,0.95,,,,
60443,2026-05-27T08:06:23.340881,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,1 railing,1.0,Concrete,1.0,,,,
60444,2026-05-27T08:06:49.158686,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,,1 railing,1.0,Concrete,1.0,,,,
61221,2026-05-27T08:06:57.600479,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,1 railing,1.0,Timber/Wood,0.95,,,,
61611,2026-05-27T08:07:06.121098,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Rock/Stone,0.9,,,,
61846,,,,,,,No railings,1.0,Timber/Wood,1.0,,,,
61933,2026-05-27T08:07:16.779873,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.95
    }
}",Elevated,0.95,,2 railings,1.0,Timber/Wood,1.0,,,,
61959,2026-05-27T08:07:34.614905,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.9
    }
}",Elevated,0.9,,No railings,1.0,,,,,,
62338,2026-05-27T08:07:45.881607,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Timber/Wood,1.0,,,,
62365,2026-05-27T08:07:59.495464,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,,1 railing,1.0,Timber/Wood,1.0,,,,
63006,2026-05-27T08:08:11.473858,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.95
    }
}",Elevated,0.95,,1 railing,1.0,Timber/Wood,1.0,,,,
63400,2026-05-27T08:08:20.746857,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,,,Rock/Stone,0.95,,,,
64381,2026-05-27T08:08:29.193701,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Timber/Wood,1.0,,,,
64441,2026-05-27T08:08:39.123120,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,,No railings,1.0,,,,,,
64656,2026-05-27T08:08:47.930748,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Timber/Wood,0.95,,,,
64840,2026-05-27T08:08:56.739911,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Rock/Stone,0.95,,,,
65318,2026-05-27T08:09:07.603606,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Concrete,0.9,,,,
65613,2026-05-27T08:09:15.990905,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Timber/Wood,1.0,,,,
66054,2026-05-27T08:09:24.384950,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Timber/Wood,0.95,,,,
66055,2026-05-27T08:09:34.524090,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,2 railings,1.0,Concrete,0.95,,,,
66243,2026-05-27T08:09:43.946316,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Concrete,0.95,,,,
67210,2026-05-27T08:09:53.483102,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Concrete,1.0,,,,
80433,2026-05-27T08:10:05.453600,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Rock/Stone,0.95,,,,
80436,2026-05-27T08:10:14.567367,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Timber/Wood,0.95,,,,
80438,2026-05-27T08:10:24.910286,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Timber/Wood,0.95,,,,
80450,2026-05-27T08:10:33.711336,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Rock/Stone,1.0,,,,
80452,2026-05-27T08:10:43.031444,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Rock/Stone,0.95,,,,
80458,2026-05-27T08:10:52.655641,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Rock/Stone,1.0,,,,
80460,2026-05-27T08:11:03.103914,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 1.0
    }
}",Elevated,1.0,,1 railing,1.0,Timber/Wood,1.0,,,,
80463,2026-05-27T08:11:12.116964,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Timber/Wood,1.0,,,,
80470,2026-05-27T08:11:21.844495,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Rock/Stone,1.0,,,,
80471,2026-05-27T08:11:30.822252,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Rock/Stone,0.95,,,,
80606,2026-05-27T08:11:51.244088,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.9
    }
}",Elevated,0.9,,2 railings,0.95,Timber/Wood,1.0,,,,
80607,2026-05-27T08:12:07.524358,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 1.0
    }
}",Elevated,1.0,,1 railing,1.0,Timber/Wood,1.0,,,,
80608,2026-05-27T08:12:21.970562,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 1.0
    }
}",Elevated,1.0,,2 railings,1.0,Timber/Wood,1.0,,,,
80639,2026-05-27T08:12:33.095820,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,0.9,Timber/Wood,0.95,,,,
80640,2026-05-27T08:12:44.699902,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Timber/Wood,0.95,,,,
80804,2026-05-27T08:12:54.072250,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Concrete,0.95,,,,
80909,2026-05-27T08:13:02.610588,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,1 railing,1.0,Timber/Wood,1.0,,,,
80916,2026-05-27T08:13:12.425967,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,,1 railing,1.0,Timber/Wood,0.95,,,,
81293,2026-05-27T08:13:23.602299,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Timber/Wood,1.0,,,,
82182,2026-05-27T08:13:32.716379,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Concrete,0.95,,,,
82213,2026-05-27T08:13:43.469159,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Timber/Wood,1.0,,,,
82406,2026-05-27T08:13:52.995504,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Concrete,1.0,,,,
82425,2026-05-27T08:14:05.176215,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Concrete,0.9,,,,
82461,2026-05-27T08:14:15.627364,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Concrete,0.9,,,,
82555,2026-05-27T08:14:25.966645,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,1 railing,1.0,Concrete,1.0,,,,
82778,2026-05-27T08:14:35.592758,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Timber/Wood,1.0,,,,
82806,2026-05-27T08:14:47.479487,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Concrete,1.0,,,,
82811,2026-05-27T08:14:59.919104,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Concrete,1.0,,,,
82812,2026-05-27T08:15:11.541105,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Concrete,1.0,,,,
83137,2026-05-27T08:15:24.087337,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Timber/Wood,1.0,,,,
83142,2026-05-27T08:15:37.038624,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,,No railings,1.0,Timber/Wood,1.0,,,,
83147,2026-05-27T08:15:52.603020,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,,No railings,1.0,Timber/Wood,1.0,,,,
83152,2026-05-27T08:16:09.193534,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.9
    }
}",At-Grade,0.9,,No railings,1.0,Timber/Wood,1.0,,,,
83852,2026-05-27T08:16:20.968386,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,1 railing,1.0,Concrete,0.95,,,,
83940,2026-05-27T08:16:29.873397,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Timber/Wood,0.95,,,,
84944,2026-05-27T08:16:40.569044,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.95
    }
}",Elevated,0.95,,2 railings,1.0,Timber/Wood,1.0,,,,
85087,2026-05-27T08:16:55.788971,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.9
    }
}",Elevated,0.9,,2 railings,1.0,Steel,0.95,,,,
85476,,,,,,,No railings,1.0,Timber/Wood,1.0,,,,
85483,2026-05-27T08:17:04.482152,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Timber/Wood,1.0,,,,
85486,,,,,,,No railings,1.0,Timber/Wood,1.0,,,,
