Unnamed: 0,image_path,file_exists,asset_id,profile_id,profile_name,description,file_id,filename,attr_abutment_material,attr_bridge_type,attr_decking_material,attr_fall_height,attr_has_edge_guard,attr_has_pedestrian_railing,attr_length,"attr_material_frame,_tank,_body",attr_number_of_steps,attr_structure_material,attr_structure_position,attr_width,Length measured by staff,length_bin,width_bin,fall_height_bin,steps_bin
2345,data/citywide/images/253/117216/65270__AST_IM_20230616_122837.jpeg,True,117216,253,Trail Bridge,Aluminum bridge,65270,AST_IM_20230616_122837.jpeg,Timber,,Steel,,,,6.0,,,Aluminum,,1.0,True,medium (6-20m),standard (0.9-1.5m),,
2346,data/citywide/images/253/117220/65237__AST_IM_20230616_140951.jpeg,True,117220,253,Trail Bridge,6m aluminum,65237,AST_IM_20230616_140951.jpeg,Timber,,Steel,,,,6.0,,,Aluminum,,1.0,True,medium (6-20m),standard (0.9-1.5m),,
2347,data/citywide/images/253/117220/65254__AST_IM_20230616_140959.jpeg,True,117220,253,Trail Bridge,6m aluminum,65254,AST_IM_20230616_140959.jpeg,Timber,,Steel,,,,6.0,,,Aluminum,,1.0,True,medium (6-20m),standard (0.9-1.5m),,
2348,data/citywide/images/253/117221/65255__AST_IM_20230616_140235.jpeg,True,117221,253,Trail Bridge,4.5m,65255,AST_IM_20230616_140235.jpeg,Timber,,Steel,,,,4.5,,,Aluminum,,1.0,True,short (<6m),standard (0.9-1.5m),,
2349,data/citywide/images/253/117304/65511__AST_IM_20230702_114742.jpeg,True,117304,253,Trail Bridge,"74 ft long, 42"" rails, 6ft wide, 3"" decking, 2 steel I beams w/ concrete supports every 16 ft. Stringer spacing 3.5 feet inside edge to inside ",65511,AST_IM_20230702_114742.jpeg,Concrete,Beam,Timber,,,,22.5,,,Steel,,1.75,True,long (>20m),wide (>1.5m),,
2350,data/citywide/images/253/117304/65513__AST_IM_20230702_114800.jpeg,True,117304,253,Trail Bridge,"74 ft long, 42"" rails, 6ft wide, 3"" decking, 2 steel I beams w/ concrete supports every 16 ft. Stringer spacing 3.5 feet inside edge to inside ",65513,AST_IM_20230702_114800.jpeg,Concrete,Beam,Timber,,,,22.5,,,Steel,,1.75,True,long (>20m),wide (>1.5m),,
2351,data/citywide/images/253/117304/65517__AST_IM_20230702_114749.jpeg,True,117304,253,Trail Bridge,"74 ft long, 42"" rails, 6ft wide, 3"" decking, 2 steel I beams w/ concrete supports every 16 ft. Stringer spacing 3.5 feet inside edge to inside ",65517,AST_IM_20230702_114749.jpeg,Concrete,Beam,Timber,,,,22.5,,,Steel,,1.75,True,long (>20m),wide (>1.5m),,
2352,data/citywide/images/253/117304/76916__AST_EX_20241105_131541.jpeg,True,117304,253,Trail Bridge,"74 ft long, 42"" rails, 6ft wide, 3"" decking, 2 steel I beams w/ concrete supports every 16 ft. Stringer spacing 3.5 feet inside edge to inside ",76916,AST_EX_20241105_131541.jpeg,Concrete,Beam,Timber,,,,22.5,,,Steel,,1.75,True,long (>20m),wide (>1.5m),,
2353,data/citywide/images/253/117304/76918__AST_EX_20241105_131536.jpeg,True,117304,253,Trail Bridge,"74 ft long, 42"" rails, 6ft wide, 3"" decking, 2 steel I beams w/ concrete supports every 16 ft. Stringer spacing 3.5 feet inside edge to inside ",76918,AST_EX_20241105_131536.jpeg,Concrete,Beam,Timber,,,,22.5,,,Steel,,1.75,True,long (>20m),wide (>1.5m),,
2354,data/citywide/images/253/117304/76922__AST_EX_20241105_131531.jpeg,True,117304,253,Trail Bridge,"74 ft long, 42"" rails, 6ft wide, 3"" decking, 2 steel I beams w/ concrete supports every 16 ft. Stringer spacing 3.5 feet inside edge to inside ",76922,AST_EX_20241105_131531.jpeg,Concrete,Beam,Timber,,,,22.5,,,Steel,,1.75,True,long (>20m),wide (>1.5m),,
2355,data/citywide/images/253/117365/65592__AST_IM_20230721_122525.jpeg,True,117365,253,Trail Bridge,"Boardwalk three, mostly stable birds are in ok condition. If major project replace. Fair rating. All wood.",65592,AST_IM_20230721_122525.jpeg,Timber,Beam,Timber,,,,11.0,,,Timber,,3.0,True,medium (6-20m),wide (>1.5m),,
2356,data/citywide/images/253/117365/71511__AST_EX_20240726_142554.jpeg,True,117365,253,Trail Bridge,"Boardwalk three, mostly stable birds are in ok condition. If major project replace. Fair rating. All wood.",71511,AST_EX_20240726_142554.jpeg,Timber,Beam,Timber,,,,11.0,,,Timber,,3.0,True,medium (6-20m),wide (>1.5m),,
2357,data/citywide/images/253/117365/71512__AST_EX_20240726_142539.jpeg,True,117365,253,Trail Bridge,"Boardwalk three, mostly stable birds are in ok condition. If major project replace. Fair rating. All wood.",71512,AST_EX_20240726_142539.jpeg,Timber,Beam,Timber,,,,11.0,,,Timber,,3.0,True,medium (6-20m),wide (>1.5m),,
